title,field_policy_number,body,langcode,field_topics,field_goals,field_objectives
Theme E - Accountability Policy 2,2,"Modernize the Zoning Ordinance to reflect the direction of the 2018 Comprehensive Plan, proactively planning for the next 20 years of growth.",en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life, Community Facilities",A1:A2:A3:A4:B1:B2:B3:C1:C2:C3:D1:D2:D3:D4:E1:E2:E3:E4:F1:F2,A1a:A1b:A1c:A1d:A2a:A2b:A2c:A2d:A2e:A3a:A3b:A3c:A3d:A4a:A4b:A4c:B2a:B2b:B2c:B2d:B3a:B3b:B3c:C1a:C1b:C1d:C1e:C2a:C2b:C2c:C2d:D1a:D1b:D1c:D1d:D2a:D3a:D3b:D3c:E1a:E1b:E1c:E1d:E1e:E2a:E2b:E4a:E4b:E4c:E4d:F1a:F1b:F1c:F1d
Theme E - Accountability Policy 3,3,"Implement the Placebuilder, which includes criteria for zone change applications, based upon the goals and objectives, to ensure development compliance with the Comprehensive Plan.",en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life, Community Facilities",A1:A2:A3:A4:B1:B2:B3:C1:C2:C3:D1:D2:D3:D4:E1:E2:E3:E4:F1:F2,A1a:A1b:A1c:A1d:A2a:A2b:A2c:A2d:A2e:A3a:A3b:A3c:A3d:A4a:A4b:A4c:B2a:B2b:B2c:B2d:B3a:B3b:B3c:C1a:C1b:C1d:C1e:C2a:C2b:C2c:C2d:D1a:D1b:D1c:D1d:D2a:D3a:D3b:D3c:E1a:E1b:E1c:E1d:E1e:E2a:E2b:E4a:E4b:E4c:E4d:F1a:F1b:F1c:F1d
Theme E - Accountability Policy 4,4,Develop growth benchmarks and determine best measurable methods to monitor them and report progress on a regular basis.,en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life, Community Facilities",A2:B1:B2:C1:C2:C3:D1:D2:D3:D4:E1:E2:E4:F2:F3,A1a:A1b:A1c:A1d:A2a:A2c:A2d:A3a:A3b:A3c:A3d:A4b:A4c:B2a:B2c:B2d:B3a:B3b:B3c:C1a:C1b:C1d:C1e:C2a:C2b:C2c:C2d:D1a:D1b:D1c:D1d:D2a:D3a:D3b:D3c:E1a:E1b:E1c:E1d:E1e:E2a:E2b:E4a:E4b:E4c:E4d:F2a:F2b
Theme E - Accountability Policy 5,5,"Increase dedicated bike lanes, pedestrian and transit facilities in the existing right-of-way, focusing on moving people rather than exclusively single-occupancy vehicles.",en,"topic: Transportation, Health",A3:D1:D2,A3b:A4c:B2d:C1d:C2d:D1a:D1b:D1c:E1b
Theme E - Accountability Policy 6,6,Partner with other agencies like the Lexington Public Library to create a public outreach opportunity that provides decision-makers with input and creates neighborhood leaders across all demographics and geographies.,en,"topic: Quality of Life, Community Facilities",F1,A2d:A2e:D2c:E1b:F1a:F1b:F1c:F1d
Theme E - Stewardship Policy 1,1,"Update Lexington’s stone fence inventory, and pursue additional protections for this iconic and historic cultural asset.",en,"topic: Economic Development, Agriculture, Greenspace, Quality of Life",B3:D3:D4:E2,B3b:C1b:C1d:C2d:D3a:D3c:E2a:E2b
Theme E - Stewardship Policy 2,2,"Capitalize on the diverse economic development, housing, and tourism opportunities throughout the Bluegrass Region and engage in discussions to further connect regional economic hubs.",en,"topic: Housing, Transportation, Economic Development",C1:C2:D1:F3,C1a:C2d:D1c:F3a:F3b
Theme E - Stewardship Policy 3,3,"Increase regional transportation cooperation and pursue multimodal transportation options, to facilitate inter-county connectivity.",en,"topic: Transportation, Economic Development, Health",B2:D1:F3,B2d:C1d:D1a:D1b:D1c:E1b:F3a:F3b
Theme E - Stewardship Policy 4,4,Coordinate with surrounding counties to capitalize on the inherent tourism draws of the Bluegrass Region.,en,"topic: Economic Development, Agriculture, Greenspace",C1:D3:E2:F3,B2b:C1a:C1b:C1d:C2a:E2a:E2b:F3a:F3b
Theme E - Stewardship Policy 5,5,"Fully realize the development potential within Lexington’s Rural Activity Centers while avoiding negative impacts to surrounding agriculture, Rural Settlements, and viewsheds.",en,"topic: Economic Development, Agriculture",B3:C1:C2:C3:D3:E2:E3,B2b:B3b:C1a:C1b:C2a:C2c:E1b:E2a:E2b
Theme E - Stewardship Policy 6,6,Identify new compatible agritourism and ecotourism land uses that would enhance Lexington’s economy and provide additional income-generating possibilities for local farmers.,en,"topic: Economic Development, Agriculture",B3:C1:D3:E2,B2b:B3b:C1a:C1b:C1d:C2a:C2d:E1b:E2a
Theme E - Stewardship Policy 7,7,"Consult with planning departments of adjacent counties to find common Comprehensive Plan goals, objectives and implementation items where shared benefits could be gained by working together.",en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life, Community Facilities",F3,A2d:B3d:F3a:F3b
Theme E - Stewardship Policy 8,8,"Address economic, environmental, and social sustainability of new development to thoughtfully utilize Lexington’s resources for present needs while considering those of future generations.",en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life",A3:B1:B2:B3:C1:C2:C3:D2:E1:E2:E3:F2,A1a:A2d:A3b:A3c:A3d:A4b:B2b:B2c:B2d:B3b:B3c:C1b:C1d:C1e:D1a:D1b:D1c:D2a:D2b:D2c:E1b:E1c:E1d:E1e:E2a:E2b:F2c
Theme E - Stewardship Policy 9,9,Follow and implement the recommendations of the 2007 Study of Fayette County’s Small Rural Communities and the 2017 Rural Land Management Plan to protect and preserve Lexington’s rural settlements.,en,"topic: Economic Development, Agriculture",B3:D3:E1:E2:E3,B3b:C1b:D3a:D3b:D3c:E1b:E2a:E2b
Theme E - Growth Policy 1,1,Revisit Infill and Redevelopment Area regulations to ensure they are compatible with Imagine Lexington and are encouraging desired development.,en,"topic: Housing, Transportation, Economic Development, Greenspace, Health, Quality of Life",A1:A2:A3:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2c:A2d:A3a:A3b:C2a:E1a:E1b:E1c:E1d
Theme E - Growth Policy 2,2,Capitalize on the current momentum of downtown development and improvements by working to identify and enhance opportunities for redevelopment.,en,"topic: Economic Development, Quality of Life",A1:A2:A3:B2:C1:E1,A1a:A1b:A1d:A2a:A2b:A3a:A3b:B2c:C1d:C1e:C2a:C2d:E1b:E1d
Theme E - Growth Policy 3,3,"Provide varied, abundant, and connected greenspaces throughout Lexington’s urban and rural areas.",en,"topic: Agriculture, Greenspace, Health, Community Facilities",A3:B2:B3:D2:D3:E2,A2c:A3b:A3c:A3d:B2b:B3a:B3b:B3c:C1d:C2d:D1b:E1b:E2a:E2b
Theme E - Growth Policy 4,4,Promote the adaptive reuse of existing structures.,en,"topic: Housing, Economic Development",A1:A2:A3:B2:C1:E1,A1a:A1b:A1d:A2a:A2d:A3a:A3c:B2c:C1e:C2a:D3b:D3c:E1a:E1b:E1c:E1d
Theme E - Growth Policy 5,5,"Utilize critical evaluation to identify and preserve Lexington’s historic assets, while minimizing unsubstantiated calls for preservation that can hinder the city’s future growth.",en,"topic: Economic Development, Quality of Life",A2:A3:C1,A2a:A2b:A3a:D3a:D3b:D3c:E1b:E1d:E2a:E2b
Theme E - Growth Policy 6,6,Address new development context along the boundaries of existing Historic Districts to enhance historic areas while encouraging infill and redevelopment.,en,"topic: Housing, Economic Development, Quality of Life",A2:A3:B3:C1:D3,A1b:A2a:A2b:A2d:A3a:B3b:D3a:D3b:D3c:E1b:E1c:E1d
Theme E - Growth Policy 7,7,"Lexington should be proactive, highly agile, and adaptable in pursuing changes to transportation and land use policy that harness the benefits of autonomous vehicles (AV) and limit the potential detriments.",en,topic: Transportation,B2:D1,A2d:A3b:B2d:C2d:D1a:D1b:D1d:E1b
Theme E - Growth Policy 8,8,"Identify catalytic redevelopment opportunities to proactively rezone properties, clear regulatory hurdles, and expedite redevelopment in key areas that will ignite further economic growth.",en,"topic: Housing, Transportation, Economic Development",A1:A2:A3:C1:C3:D1,A1a:A1b:A1c:A1d:A2a:A2d:A3a:C1a:C1b:C2a:C2c:D1a:D1b:D1c:E1b:E1c:E1d
Theme E - Growth Policy 9,9,Support the “Missing Middle Housing” types throughout Lexington.,en,topic: Housing,A1:A2:A3:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:C2d:E1b:E1d
Theme E - Growth Policy 10,10,"Support the enhancement, reuse, and/or redevelopment of underutilized property to fit the changing retail landscape, increase development viability, and bolster enhanced mass transit options.",en,"topic: Housing, Transportation, Economic Development, Quality of Life",A1:A2:A3:B2:C1:D1:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:B2c:B2d:C1a:C2d:D1a:D1b:D1c:E1a:E1b:E1c:E1d
Theme E - Growth Policy 11,11,"Imagine Lexington anticipates a variety of land use changes will occur throughout the Urban Service Area and recommends those that are in agreement with the goals, objectives, and policies within this Comprehensive Plan. Land use changes alone in an area are not sufficient to constitute major changes of an economic, physical, or social nature as provided in state statute for the approval of a zone map amendment.",en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life, Community Facilities",F2,F2c
