title,field_policy_number,field_definition,langcode,field_topics,field_goals,field_objectives,field_short_name,body
Theme B - Sustainability Policy 11,11,"Require green infrastructure elements for new development, and require during redevelopment where appropriate.",en,"topic: Greenspace, Health, Community Facilities",A3:B3,A1a:A2b:A2c:A3c:A3d:B3a:B3c:C1d:D1b:E1b,Green Infrastructure,"Since 2016, the stormwater manual has required the use of green infrastructure for stormwater management for both volume and water quality control.  Below is a list of green infrastructure practices approved for use in Fayette County for volume control. Green infrastructure plays a key role for the urban environment and public health in the Lexington-Bluegrass region, especially when using nature-based solutions to preserve natural capital."
Theme B - Sustainability Policy 12,12,Encourage and explore incentives for green building practices for new development and redevelopment.,en,"topic: Economic Development, Greenspace, Health",B2:B3,A1a:A2d:A3a:B2a:B2b:B2c:E1b,Encourage Green Building Practices,"Incentives should be explored to encourage new development or redevelopment to achieve green building standards. New development is encouraged to locate building structures at optimum conditions for the use of solar energy, and to consider sunlight impacts to adjacent dwelling units at preliminary development stage. Provide incentives for development to incorporate renewable energy into the new proposals, such as solar, wind, geothermal, small-scale or micro-hydroelectric, energy-star equipment and systems, monitoring devices, etc."
Theme B - Sustainability Policy 13,13,Develop an overarching entity / organization for existing environmentally-focused agencies to collaborate on sustainability programs and follow through on implementation.,en,"topic: Greenspace, Health, Quality of Life",,B3d,Sustainability Programs & Implementation,"Lexington’s  neighboring cities  have excellent examples  for sustainability partnerships. The Partnership for a Green City represents a collaborative effort to improve sustainability internally and in the community by four of Louisville’s largest public entities, including Louisville Metro Government, University of Louisville, Jefferson County Public Schools and Jefferson Community & Technical College."
Theme B - Restoration Policy 1,1,"Follow the LFUCG Urban Forestry Management Plan, protecting and recovering Lexington’s urban forest by strategically planting new trees and creating walkable streetscapes.",en,"topic: Greenspace, Health, Quality of Life",B2:B3,A3c:A3d:B2b:B2d:B3b:B3c:E1b,Urban Forestry Management Plan,"The urban forest plays an important role in supporting and improving the quality of life in urban areas. A tree’s shade and beauty contributes to the community’s health and softens the often hard appearance of urban landscapes and streetscapes. When properly maintained, trees provide abundant environmental, economic, and social benefits to a community, far in excess of the time and money invested in their planting, pruning, protection, and removal."
Theme B - Restoration Policy 2,2,Use green infrastructure to bridge gaps in the greenspace network.,en,"topic: Greenspace, Health, Quality of Life",B3,A2c:A3c:B3a:B3c:E1b,Greenspace Infrastructure & Network,"Green infrastructure provides numerous environmental benefits, such as stormwater management, with limited disruption to natural land. It can serve as an urban oasis in the regional ecological system and create linkages within the greenspace network. The 2004 Greenway Master Plan identified several conservation greenways in the county which are a crucial component of the greenspace network within our region. Development within or adjacent to these greenways should consider incorporating green infrastructure as a means of creating and/or maintaining connections to the network."
Theme B - Restoration Policy 3,3,Support community gardens and urban agriculture to restore natural resources within the Urban Service Area.,en,"topic: Agriculture, Greenspace, Health, Quality of Life, Community Facilities",B2:B3,A2c:B2b:C1a:C1b:E1b,Community Gardens & Urban Agriculture,"Lexington allows community gardens on public property such as parks and greenways, in areas where appropriate. Seedleaf was founded in 2007 with a mission to nourish communities by growing and sharing food in Lexington. The nonprofit grew three gardens in 2008, 10 gardens in 2009, and has grown steadily since then. While neighbors come together to produce local food and improve social connections, the process also restores natural resources within the urban area, leaving ecological benefits for the environment."
Theme B - Restoration Policy 4,4,Improve air quality by reducing vehicle miles traveled (VMT). ,en,"topic: Transportation, Health",A3:B2:D1,A3b:A4a:A4b:A4c:B2d:C1e:C2a:D1a:D1b:D1c:D1d:E1b:E1c:E1d,Reduce Vehicle Miles Traveled (VMT),"Reduction of vehicle miles traveled (VMT) is an official goal of the U.S. Government policy, as stated in sections of the Clean Air Act (CAA). Vehicles (or mobile sources) are a major contributor to urban air pollution. Technology (cleaner vehicles and cleaner fuels) will continue to reduce vehicle pollution, but more people living in an area generally equates to more vehicles on the road. Recent national trends show a decrease in personal vehicle miles of travel per person and it is likely that this trend will continue."
Theme C - Livability Policy 1,1,Encourage economic opportunities for a wide array of agritourism while preserving the Bluegrass identity.,en,"topic: Economic Development, Agriculture, Greenspace",B3:D3:E1:E2,B2b:C1b:C1d:C2a:C2d:D3a:E1b:E2a:E2b,Agritourism Economic Opportunities,"Agritourism is an increasingly important part of Lexington tourism, and with recent developments like the creation of Horse Country, which has accounted for over 70,000 horse farm tours alone since its inception, and Boone Creek Outdoors zip line canopy tours, the timing is right to continue with that momentum.  Efforts should be made to ensure that the local Fayette County extension office and the Kentucky USDA know about the agritourism uses allowed in Lexington’s rural service area, so farmers are aware of the options they may have for additional revenue streams."
Theme C - Livability Policy 2,2,"Emphasize the preservation, protection, and promotion of the iconic Bluegrass landscape along rural gateways and roadways serving as primary tourist routes.",en,"topic: Transportation, Economic Development, Agriculture, Greenspace",B3:D3:E1:E2,B2b:B3b:C1b:C1d:D3a:E1b:E2a:E2b,Rural Bluegrass Gateways & Roadways,"Visitors to Lexington frequently remark about the scenic beauty observed while driving through the farmland on the way to a destination.  Trips to horse farms, distilleries, breweries, or any of the other tourist hot spots become as much about the journey as the destination.  The experience draws people in, and, in some cases, influences visitors’ decisions to locate themselves or their businesses to Lexington permanently."
Theme C - Livability Policy 3,3,Create a large regional athletic field complex for economic development and to enhance Lexington’s existing facilities.,en,"topic: Economic Development, Greenspace, Health, Quality of Life, Community Facilities",A4:C1:D2,C1d:C2d:E1b:E1e,Regional Athletic Field Complex,"According to the 2018 Parks and Recreation Master Plan:  “The Bluegrass Sports Commission previously approached the city about a partnership for the development of a sports complex to promote economic development. They produced a feasibility study, Lexington Sports Complex Market and Feasibility Analysis, in 2015 outlining the benefits of such a facility.” The proposed sports complex was to be at Cardinal Run North, owned by Lexington and managed by the Bluegrass Sports Commission."
Theme C - Livability Policy 4,4,"Continue to coordinate transportation logistics and traffic control for recurring special events, festivals, and parades.",en,"topic: Transportation, Economic Development",B2:D1,C1d:C2d:D1b:D1d:E1b,Coordinate Transit Logistics for Special Events,"The Lexington Area MPO regularly meets with the Traffic Safety Coalition subcommittee, the Transportation Technical Coordinating Committee, Bicycle Pedestrian Advisory Committee, and the Transportation Coordination Committee to review security of the transportation systems. On-the-ground coordination with the Divisions of Police and Traffic Engineering for special events provides safety enhancements when roads are closed or traffic patterns are otherwise altered."
Theme C - Livability Policy 5,5,"Enhance programs and activities by Lexington’s Parks and Recreation Department, and support public event planning, community events, and festivals.",en,"topic: Economic Development, Quality of Life, Community Facilities",,C1d:C2d:D1b:E1b,Enhance Programs & Activities,"Many of the festivals, parades, and events that Parks and Recreation hold are in the same location each year. Events, festivals, parades, and the like are important in celebrating holidays, cultures, and community celebrations. These activities add to the livability of the city, attract tourists, and provide entertainment options that appeal to millennials, as well as people of all ages. Increasing the scope of these events, and even creating a citywide festival, should be considered."
Theme C - Livability Policy 6,6,"Attract and retain young professionals by improving affordable housing opportunities, amenities, and entertainment options that are attractive to them.",en,"topic: Housing, Economic Development, Quality of Life",A1:C2:D4,A1b:A1d:A2c:C2d:E1b,Attract & Retain Young Professionals,"In 2017, a survey titled “The Experience Movement: How Millennials are Bridging Cultural & Political Divides Offline” was conducted by Eventbrite and Harris Poll. It revealed that most millennials would rather spend their money on experiences or events than on tangible things. Millennials have a common fear of missing out on an enjoyable event or experience that others are having. Many of this age feel their best memories are from their shared experiences. These young professionals make up much of the current workforce and, as the baby boomers retire, they will soon comprise the majority of the workforce."
Theme C - Livability Policy 7,7,"Continue to create a true multimodal and mixed-use community with safe and quality access to community facilities, greenspace, employment, neighborhoods businesses, shopping, and entertainment.",en,"topic: Housing, Transportation, Economic Development, Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B2:D1:D2,A1a:A1b:A1d:A2a:A2c:A3a:A3b:A4a:A4b:A4c:B2c:B2d:C1a:C2a:C2d:D1a:D1b:D1c:D2a:E1b:E1c:E1d,multimodal & Mixed-Use Community,"Walkscore is a website that scores neighborhoods based on a formula that assesses a neighborhood’s walkability, bikeability, and multimodal service on a scale from 1 to 100.  In reviewing local Lexington scores, some areas scored much higher in walk and bike scores than others.   For example, Aylesford Place-Woodland Park has a walk score of 85 and a bike score of 90.  Downtown has a walk score of 88 and a bike score of 83."
Theme C - Livability Policy 8,8,"Promote quality of life aspects, including greenspace, as an attraction to new businesses and residents.",en,"topic: Economic Development, Greenspace, Health, Quality of Life",A3:D3:D4,A1a:A1c:B2b:C1d:C2c:C2d:D1b:D1c:E1b,Promote Quality of Life,"The design of a city, its public spaces, and public infrastructure have important correlations with quality of life, social development, and other key components of human wellbeing.  Likewise, appealing cities are more likely to attract a creative, innovative, and skilled workforce, and the investments that are needed to drive the urban economy.  The urban design practice in the modern world is not only for building layouts, but includes an additional focus on the goals of making urban areas functional, attractive, and sustainable."
Theme C - Livability Policy 9,9,Promote economic development through the preservation of strategically and appropriately located industrial and production zoned land.,en,"topic: Economic Development, Quality of Life",C1:C2:C3:E1,C1a:C2a:C2b:C2c:E1b:E1d:E1e,Strategically Preserve Production Land,"The creation of adaptive reuse regulations was an acknowledgment that many of Lexington’s older industrial zoned sites were no longer suited for modern economic development purposes.  As those properties became vacant and dilapidated, it presented opportunities to support the urban core with businesses and residential options better suited for their urban environment.  However, it is still critical to provide a base of industrial zoned land, in strategic locations well served by appropriately scaled infrastructure and available transit service."
Theme C - Diversity Policy 1,1,"Create opportunities for incubators. Seek incentives for owners of vacant office/laboratory space, and for developers who build incubator space for startups and for growing businesses.",en,topic: Economic Development,,C1a:C2b,Create Opportunities for Incubators,"Lexington needs additional space to encourage more startup businesses, as well as for startups who have outgrown their original space.  As new ventures, there are barriers that these young companies must overcome, such as a lack of credit and a need for mid-level space of about 1,000 square feet or larger.  Some companies engaging in research and development may require more specialized and larger (around 5,000 square feet) spaces with water, hoods, etc., while some only require Wi-Fi and a small space to occupy."
Theme C - Diversity Policy 2,2,"Encourage a diverse economic base to provide a variety of job opportunities, allowing upward mobility for lower income residents of Fayette County",en,topic: Economic Development,C3,C1a:C2a:E1a:E1b,Encourage a Diverse Economic Base,"Unemployment is low in Lexington, but many jobs are concentrated in industries of less than average pay.  When looking at the mix of employment in Lexington, excluding government jobs, the top three industries with the most employment were Healthcare and Social Assistance, Retail Trade, and Accommodation and Food Services.  The average employee income for Healthcare and Social Assistance was $49,229; for Retail Trade, the average income was $25,187; and for Accommodations and Food Services, average income was $16,805."
Theme C - Diversity Policy 3,3,"Support full funding and adequate staff for the Minority Business Enterprise Program (MBEP) which increases diversification of city vendors through promoting an increase in minority, veteran, and women-owned companies doing business with the city.",en,topic: Economic Development,,C1a:C2d:E1b,Minority Business Enterprise Program,"Minority, veteran, and women-owned businesses are underrepresented in Lexington, and the MBEP, as well as other agencies, are making efforts to help lessen this disproportion.  From the Minority Business Enterprise Program (MBEP) webpage:  “The Minority Business Enterprise Program is in place to help minority, women, and veteran-owned businesses participate in the city’s procurement process.  The success of minority-owned businesses is vital to the community because they contribute to the overall success and economic viability of Lexington.”
"
Theme C - Diversity Policy 4,4,"Encourage training, programs, and workforce inclusion opportunities for people with disabilities or judicial records, or who have undergone rehabilitation from addiction.",en,"topic: Economic Development, Health",C2:D2,A4b:C1a:C1c:D2b:D2c,Encourage Workforce Inclusion,"The Opportunity for Work & Learning (OWL) is a non-profit organization that has helped 26,000 people since 1961 to overcome mental and physical disabilities or prior incarceration to achieve growth in their personal, as well as professional lives.  OWL offers individualized support and programming, including practical occupational training, such as customer service and fork lift certifications.   Their services extend to eleven counties.  OWL also owns the for-profit Lexington Manufacturing Center (LMC); many of the participants in the OWL program are hired by LMC."
Theme C - Diversity Policy 5,5,"Maximize context-sensitive employment opportunities within the Opportunity Zone tracts, providing equitable community development, and prioritizing local residents for advancement opportunities.",en,topic: Economic Development,C2,A2d:C1e:C2a:E1b:E1d,Opportunity Zones,"Established by Congress in 2017, the Opportunity Zones program allows investors in certain communities to qualify for preferential tax treatment.  Communities that are eligible to become Opportunity Zones are in areas determined to be economically disadvantaged and must be nominated by the state.  The main goal of Opportunity Zones is to drive economic development, as they have the potential to catalyze growth in the local economy and the job market resulting from the influx of investor funds."
Theme C - Diversity Policy 6,6,Increase flexibility on types of home occupations allowed.,en,"topic: Housing, Economic Development",A3:C2:E1,A1d:A2d:A3a:C1a:C2a:C2b:C2c:E1b,Home Occupation Flexibility,"The advances in communication and information technology, especially the impact of home computers and the internet, allow for more mobile businesses and working from home.  Eliminating the commute to work, avoiding the cost of leasing or owning space for a business, and being near loved ones are among the reasons that make working from home attractive. The U.S. Census Bureau states in its report, Working at Home is on the Rise, that the number of home-based workers increased by 4.2 million between 1997 and 2010."
Theme C - Prosperity Policy 1,1,"Promote hiring local residents, and recruit employees living in areas of construction projects.",en,topic: Economic Development,C2:C3,C1a:C1c:C1e:C2a:C2c,Hire & Recruit Local Residents,"Hiring workers that live in the vicinity of a construction project builds a sense of ownership and empowerment in community development.  It may also allow some workers to walk or bike to work.  If there is a lack of training, working with local agencies and training programs to get workers trained before construction begins would increase economic sustainability of the area and its residents.  Projects involving special financing, such as TIF, have to meet certain conditions to qualify for the financing; those conditions include 40% of the households being of low-income."
Theme C - Prosperity Policy 2,2,"Support the continued funding for Economic Development grants and the Commonwealth Infrastructure fund, as well as Lexington’s Public Infrastructure Fund.",en,"topic: Economic Development, Community Facilities",C3,A2d:C1a:C1c:C2c:D1b,Support Development & Infrastructure Funding,"The Lexington-Fayette Urban County Council started an Economic Development Grant to help with “funding projects that will positively impact economic and workforce development in the City of Lexington.” The funding will be used for training/retraining, entrepreneurial support, employment re-entry, work-based learning and/or skills certification scholarships, and/or potentially other services related to economic development. Another incentive provided by the Lexington-Fayette Urban County Government is the Jobs Fund, for which businesses may apply in return for a commitment to"
Theme C - Prosperity Policy 3,3,"Continue to protect the Agricultural Cluster and equine industry, and support existing agricultural uses, while promoting new innovative agricultural uses in the Rural Service Area.",en,"topic: Economic Development, Agriculture, Greenspace",D3:E1:E2,B2b:C1b:C2a:C2d:E1b:E2a:E2b,Agriculture & Equine Industry,"Before the beginning of the 21st century, with world-renowned soils and the risk of losing farmland to large lot residential and other development, Lexington started a Purchase of Development Rights (PDR) program.  The program has been in existence for nearly 20 years, with PDR easements protecting farmland for food security and for conservation of environmentally sensitive lands.  Currently, 23% of the Rural Service Area (28,953 acres) is protected by PDR easements, with a stated end goal of 50,000 total acres, or 39% of the Rural Service Area, to be protected."
Theme C - Prosperity Policy 4,4,Encourage installation of fiber-optic broadband infrastructure for high-tech and other industries. ,en,"topic: Transportation, Economic Development, Health, Quality of Life, Community Facilities",C2,C2a:C2b:C2c:C2d:D1d:E1b,Fiber-Optic Broadband Infrastructure,"Nearly every aspect of modern society is becoming increasingly web-dependent and, like the Interstate highway system connects communities, digital broadband infrastructure is essential for any 21st century community to thrive in areas of commerce, health, education, entertainment, and government.  Broadband fiber, also known as fiber-optic cables, transmit huge amounts of data, literally at the speed of light.  Even as wireless technologies improve, and the community prepares for the next generation of 5G wireless technologies, the backbone of that digital network is still going to need to have a landline."
Theme C - Prosperity Policy 5,5,Continue to raise awareness of farms and farm tours.,en,"topic: Economic Development, Agriculture, Greenspace",B3:D3:E2,B2b:C1b:C1d:C2a:C2d:E2a:E2b,Farms & Farm Tours,"VisitLex’s 2018 Visitors Guide and the VisitLex website are packed with information about attractions, accommodations, dining, tours, and events of all kinds, plus great maps, with one of them showing the locations of horse farms. The VisitLex website includes horse farms in both Fayette and other counties, which is beneficial for regional tourism.  Lexington benefits when visitors stop in from other destinations, and is generally the home base for people exploring the central Kentucky region, meaning the bulk of the travel dollars are spent in Lexington’s local economy."
Theme C - Prosperity Policy 6,6,Promote Kentucky Proud & local Lexington products using unified branding.,en,"topic: Economic Development, Agriculture",D3:E2,B2b:C1b:C1d:C2a:E2a:E2b,Kentucky Proud & Local Lexington Products,"The Kentucky Department of Agriculture’s Kentucky Proud program is funded by the 1998 Tobacco Settlement.  Registered members get marketing assistance, promotional materials at cost, grants opportunities, no-cost meat grading, international marketing, cost-share for wineries, veterans program, and restaurant reimbursements for using Kentucky Proud foods. The logo is wide-spread and has become quite recognizable throughout the Commonwealth."
Theme C - Prosperity Policy 7,7,"Support & increase networking opportunities for career related institutions, organizations, & agencies.",en,topic: Economic Development,,C1a:C1c:C2c:D2b,Increase Networking Opportunities,"As part of the Imagine Lexington process, staff met with representatives from many of the agency-types listed above to help inform the Plan’s recommendations.  At the time, multiple stakeholders indicated that they would like to have regular meetings together to network, discuss, and brainstorm. There was a concern that career path introductions need to be incorporated into the high school education to help students understand the demand for employment and the day-to-day demands of full-time employment."
Theme C - Prosperity Policy 8,8,Provide employment opportunities that match the graduating majors from local colleges and vocational training institutions,en,topic: Economic Development,,C1a:C1c:C2c:D2b,Employ Local Graduates,"Lexington has public and private post-secondary education institutions awarding thousands of degrees and certificates each year.  Some of these graduates find jobs in their career fields in Lexington, some in other counties, some other states, etc.  If a graduate desires to stay in Lexington but cannot find jobs in their desired field, it is either because there are not enough jobs in their field, or the degrees are not matching the job demand."
Theme C - Prosperity Policy 9,9,Recruit professional services that utilize vacant office space.,en,topic: Economic Development,,C1a:C2a:C2b,Utilize Vacant Office Space,"According to several industry professionals in Lexington, there is a surplus of vacant professional office space. Reviewing NAI Isaac’s 2017 Market Report, the vacancy rate for office space is around 12%, with over a million square feet of available space throughout the urban service area.  This is a significantly higher vacant rate than either industrial or retail.  Market trends indicate a change in the demands for office space that utilizes less square footage per employee. Many of Lexington’s existing office users are likely consolidating space faster than new businesses are being found to absorb that space."
Theme C - Prosperity Policy 10,10,Encourage flexible parking and shared parking arrangements.,en,"topic: Transportation, Economic Development",B2:D1,C1a:C2a:C2c:D1b:E1b,Flexible & Shared Parking,"Parking demands operate on a peak and off-peak schedule depending on related land use. Taking advantage of distinct but complementary patterns, such as office parking that is generally empty in the evenings and on weekends, and residential parking that is generally utilized more in the evenings, offers an opportunity for Lexington to better satisfy residents and commuters without increasing parking supply. Shared parking is a land use/development strategy that optimizes parking capacity by allowing complementary land uses to share spaces, rather than producing separate spaces for separate uses."
Theme C - Prosperity Policy 11,11,Expand job opportunities through education and training to retain existing businesses and attract new ones.,en,topic: Economic Development,,C1a:C1c:C2a:C2c:D2b,Industry Education & Training,"One of Bluegrass Community and Technical College’s (BCTC) 45 programs of study is an Advanced Manufacturing Technician program, which prepares students for high-wage, high-demand manufacturing maintenance technician jobs.  These students work part-time for their sponsoring employers, taking classes two days a week in mechanics, robotics, electricity, fabrication, and fluid power.  Upon completion, they graduate with an Associate in Applied Science degree in less than two years.  BCTC also has a Computerized Manufacturing and Machining program."
Theme C - Prosperity Policy 12,12,Work with the Mayor’s Office to create a long-range plan for the 250 acres of Lexington’s publically-controlled economic development land at Coldstream Research Campus.,en,topic: Economic Development,C1:C2:C3,C1a:C2a:C2b:C2c:E1b:E1e,Coldstream Research Campus,"During the development of Imagine Lexington’s Goals & Objectives in 2017, amidst conversations with economic development professionals and a study of existing opportunities, a call was made for a publicly-controlled business park.  In response to Theme C Goal 3, city officials worked with the University of Kentucky (UK) to execute a land swap addressing Lexington’s need for employment land.  The result was a transfer from UK of 50 acres that are “shovel ready” within the confines of the existing research park, as well as an additional 200 acres, currently used as a dairy cow research farm directly adjoining the park."
Theme C - Prosperity Policy 13,13,"Promote increasing the supply of farm workers, and the availability and affordability of using agricultural technology, and agricultural equipment.",en,"topic: Economic Development, Agriculture",C1:C2:E2,C1a:C1b:C1c:C2a:C2b:C2c,"Farm Work, Technology, & Equipment","According to a 2017 report by Lynn Roche Phillips, PhD., AICP, and Priyanka Ghosh, PhD., University of Kentucky, Department of Geography, titled “Rural Land Use Inventory, Fayette County, Kentucky,” Lexington is utilizing 108,248 acres, or 86% of its Rural Service Area for agriculture.  Having adequately trained farm labor is crucial to continuing the success of this important part of Lexington’s overall economy.  Nationwide there are two jobs in agriculture for every new agriculture job seeker."
Theme D - Connectivity Policy 1,1,Street design should reflect and promote the desired place-type.,en,"topic: Transportation, Health",A3:B2:D1:D2,A1a:A1d:A2b:A3a:A3b:A4c:B2d:C1d:C2d:D1a:D1b:D1c:D2a:E1b:E1d,Street Design by Place-Type,"Designers of the built street environment must work to address the functionality of the space to ensure compatibility with surrounding land uses as well as transportation network connections.  True multimodal street designs must acknowledge how adjacent land uses and building forms influence user perceptions, needs, and safety. Understanding these contextual relationships leads to improved street design.  When designing or modifying a street, it is crucial to consider the current and potential future adjacent land uses for the site and block."
Theme D - Connectivity Policy 2,2,Create multimodal streets that satisfy all user needs.,en,"topic: Transportation, Health, Quality of Life",A3:B2:C2:D1:D2,A1a:A1c:A1d:A3b:A4c:B2d:C1e:C2a:D1a:D1b:D1c:D2a:E1b,multimodal Streets for All Needs,"A safe, fully-connected multimodal transportation system is not about moving vehicles, but about moving people and supporting the community by improving the quality of life for everyone. Achieving this goal requires all modes of transportation be considered equally during the design of rights-of-way. From the earliest stages of development, it should be acknowledged that bicyclists, pedestrians, transit users and automobile drivers are all entitled to safe and accessible transportation options."
Theme D - Connectivity Policy 3,3,"Provide equitable multi-modal access for those who do not drive due to age, disability, expense, or choice.",en,"topic: Transportation, Greenspace, Health, Quality of Life",A3:B2:B3:D1:D2,A2c:A3b:B2b:B2d:B3b:C1d:D1a:D1b:D1c:E1b:E1c,multimodal Access Equitability,"Mobility, social interaction, and physical activity enhance the quality of life of children, the aging population, persons with disabilities and the economically disadvantaged. The removal of barriers to independent travel reduces the need for more costly alternatives such as paratransit, private transportation services, and ‘hazard’ busing for school students.  Accessibility to transportation options is an equity issue; designing streets for only one user group assumes that everyone has access to that mode of transportation."
Theme D - Connectivity Policy 4,4,"Designstreet networks that provide alternative route options, which reduces traffic congestion.",en,"topic: Transportation, Health",A3:B2:C1:D1:D2,A3a:A4c:B2d:C2d:D1a:D1b:D1c:E1b,Provide Alternative Routes,"Public surveys consistently identify traffic congestion as a major perceived concern in Lexington. In general, there is insufficient understanding by the public on how a more connected street network could help alleviate traffic congestion. Within disconnected street networks, traffic is concentrated along major roads because there are not alternative route options for commuters. Alternatively, well-connected streets provide direct, continuous routes and multiple route options, and this has proven to effectively reduce roadway congestion."
Theme D - Connectivity Policy 5,5,"Streets should be designed for the desired speed, using built-in traffic calming measures such as roundabouts, narrower street widths, chicanes, medians, etc.",en,"topic: Transportation, Health",A3:B2:D1:D2,A3b:D1a:D1d:E1b,Design Streets for the Desired Speed,"In Lexington, speeding is a common complaint on wider streets, particularly those classified as collectors. These streets, which are wider by design, create faster vehicle speeds, regardless of the posted speed limit, due to the driver’s perception of a wide open space. In contrast, streets should be designed such that bicyclists, pedestrians, and mass transit riders feel comfortable and encouraged to freely share the space with automobiles."
Theme D - Connectivity Policy 6,6,"Take a holistic approach to designing context-sensitive streets, addressing them within the framework of the countywide network context and the needs of all users.",en,"topic: Transportation, Health, Quality of Life",A3:B2:D1,A2b:A3b:B2d:C1d:D1a:D1b:D1c:E1b,Holistically Design Streets,"The benefits of context-sensitive multimodal street design are many, but all encompass the responsibilities that designers ensure the health, safety and welfare of the people who will use this public space.  These benefits include: SAFETY, CHOICE, EQUITY, ECONOMY, PUBLIC HEALTH & RECREATION, ENVIRONMENT & ENERGY, MORE EFFICIENT PUBLIC SERVICES, LIVABILITY & HIGHER QUALITY OF PLACE
"
Theme D - Placemaking Policy 1,1,Implement the Town Branch Commons Strategic Master Plan as an element of the Comprehensive Plan.,en,"topic: Transportation, Economic Development, Greenspace, Health, Quality of Life, Community Facilities",A2:A3:A4:B2:B3:D1:D2,A2a:A2b:A2c:A3b:A3c:A3d:B2b:B2d:B3a:B3c:C1d:C2d:D1a:D1b:E1b,Town Branch Commons Strategic Master Plan,"Town Branch Commons will be a strip of Bluegrass running through downtown Lexington, roughly following the path of Town Branch, Lexington’s first water source. It will link the city's two major trails, Town Branch Trail and the Legacy Trail, to provide 22 miles of uninterrupted trail connecting downtown to the rural landscape. The Town Branch Commons is all-inclusive of the Town Branch Park, Town Branch Trail, immediately adjacent parks, pedestrian spaces, and connections to other downtown parks/plazas/etc."
Theme D - Placemaking Policy 2,2,"Retrofit incomplete suburban developments, incorporating elements that create complete neighborhoods.",en,"topic: Housing, Transportation, Economic Development, Greenspace, Health, Quality of Life",A1:A2:A3:A4:B2:D1:D2:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2c:A3a:A3b:A4a:A4b:B2b:C1e:C2b:C2d:D1a:D1b:D2c:E1a:E1b:E1d,Retrofit Incomplete Suburbs,"For decades, Lexington embraced strong Euclidian zoning as a way to protect residential uses from the negative externalities of incompatible land uses.  However, the market has seen a significant shift in residential consumer preferences, to which Lexington must respond and address with more modern zoning regulations.  Primarily, Lexington’s economy, like the national economy, has shifted away from many of the most incompatible land uses, while at the same time, there has been a boom in the services and retail sectors."
Theme D - Placemaking Policy 3,3,Establish design standards for placemaking.,en,"topic: Housing, Transportation, Economic Development, Greenspace, Quality of Life, Community Facilities",A1:A2:A3:A4:B2:B3:D1:D2,A1a:A1b:A1c:A1d:A2b:A2c:A3a:A3b:A3c:A3d:A4a:A4b:B2b:B2d:B3a:B3b:B3c:B3d:C1d:C2d:D1a:D1b:D2c:E1b:E1c:E1d,Placemaking Design Standards,"Having thoughtful design standards that are both flexible and responsive to diverse conditions is an essential component of moving toward a community filled with special places that are inviting and memorable.  Such standards are needed for the benefit of government projects involving public spaces, as well as for private entities striving to build quality developments on adjoining private lands.  Without comprehensive standards that address both the public and private realms, even hard work and the best intentions will frequently not result in the high level of quality “placemaking” that the community expects and deserves."
Theme D - Placemaking Policy 4,4,Create quality and useable open space for all developments over one acre.,en,"topic: Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B2:B3:D2,A2c:A3c:A3d:B2b:B3c:C1d:C2d:E1a:E1b,Quality Useable Open Space,"Open space is key for livable, sustainable communities. Whether a commercial development or residential neighborhood, how people will interact and move within a space needs to be considered. Successful, usable open space requires both private and public open space areas, designed and incorporated intentionally into the fabric of all development. Currently, “usable” open space is subjective, and there needs to be a diligent effort to establish criteria to define such a space. In practice, any non-paved/built area is permitted to be considered open space."
Theme D - Placemaking Policy 5,5,Review zoning ordinance and subdivision regulations to create more walkable places.,en,"topic: Transportation, Health, Quality of Life",A3:A4:B2:D1:D2,A2d:A3b:A4a:B2d:C1e:C2d:D1a:D1b:E1b,Review Regulations for Walkability,"As was prominently discussed in Theme A, from a standpoint of developing great neighborhoods, there should be a focus on creating pedestrian-friendly streets and walkable blocks that make traversing them on foot a desirable activity.  Reducing setbacks and shortening block lengths will make it easier for people to get around their neighborhoods and access the public and private amenities close to them.  The full argument for implementing these principles is laid out clearly in Theme A."
Theme D - Placemaking Policy 6,6,Amend the Expansion Area Master Plan to update the remaining residential area to reflect the 2018 Comprehensive Plan’s Goals and Objectives.,en,"topic: Housing, Transportation, Economic Development",A1:A2:A3:A4:C2:D1:D2:E1,A1a:A1b:A1c:A1d:A2a:A2c:A2d:A3a:A3b:A3c:A3d:A4a:C1a:C2b:C2c:C2d:D1a:D1c:E1a:E1b:E1d:E1e,Expansion Area Master Plan,"The adoption of the Expansion Area Master Plan (EAMP) in 1996 created a framework for zoning and public infrastructure that was entirely new to Lexington.  However, there has been a significant shift in development patterns and land costs since that plan was adopted.  Four comprehensive plans later, with all of Expansion Area 1 still to be developed, there is still time to reopen the EAMP and examine that area with fresh eyes against the needs of Lexington today."
Theme D - Placemaking Policy 7,7,"Cultivate a more collaborative pre-development process, incorporating community feedback before development is formally submitted for review.",en,topic: Quality of Life,A4:D2:F1,A1a:A2d:A3a:D2c:F1a:F1b:F1c:F1d,Community Engagement on Development,"When developers submit proposed developments, affected communities often hear about them for the first time through required public notice. Though some developers do communicate in advance, it does not always result in a productive conversation. With additional efforts put forth to ensure community awareness and support from the outset, considerable time and expense may be cut from all facets of the development process."
