title,langcode,body,field_criteria_category,field_development_types,field_place_types,field_policies
E-ST3-1,en,"Development along major corridors should provide for ride sharing pick up and drop off locations along with considerations for any needed or proposed park and ride functions of the area. (E-GR10, E-GR7)",critera_category: Transportation & Pedestrian Connectivity,High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Industrial and Production Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Industry & Production Center:Corridor,Theme E - Stewardship  Policy 3
A-DS4-3,en,"Development should work with the existing landscape to the greatest extent possible, preserving key natural features.
",criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use:Industrial and Production Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Industry & Production Center:Corridor:New Complete Neighborhood,Theme A - Design Policy 4
A-EQ7-3,en,"Community open spaces should be easily accessible and clearly delineated from private open spaces.
",criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use:Industrial and Production Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Industry & Production Center:Corridor:New Complete Neighborhood,Theme A - Equity Policy 7
B-PR2-1,en,Impact on environmentally sensitive areas should be minimized within and adjacent to the proposed development site.,criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use:Industrial and Production Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Industry & Production Center:Corridor:New Complete Neighborhood,Theme B - Protection Policy 2
B-PR2-2,en,Dividing floodplains into privately owned parcels with flood insurance should be avoided.,criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use:Industrial and Production Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Industry & Production Center:Corridor:New Complete Neighborhood,Theme B - Protection Policy 2
B-PR2-3,en,"Floodplains should be incorporated into accessible greenspace, and additional prot  ction should be provided to areas around them.",criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use:Industrial and Production Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Industry & Production Center:Corridor:New Complete Neighborhood,Theme B - Protection Policy 2
B-PR7-1,en,"Connections to greenways, tree stands, and stream corridors should be provided.",criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use:Industrial and Production Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Industry & Production Center:Corridor:New Complete Neighborhood,Theme B - Protection Policy 7
B-PR7-2,en,"Trees should be incorporated into development plans, prioritize grouping of trees to increase survivability.",criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use:Industrial and Production Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Industry & Production Center:Corridor:New Complete Neighborhood,Theme B - Protection Policy 7
B-PR7-3,en,Developments should improve the tree canopy.,criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use:Industrial and Production Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Industry & Production Center:Corridor:New Complete Neighborhood,Theme B - Protection Policy 7
B-RE1-2,en,Developments should incorporate street trees to create a walkable streetscape.,criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use:Industrial and Production Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Industry & Production Center:Corridor:New Complete Neighborhood,Theme B - Restoration Policy 1
B-RE2-1,en,Green infrastructure should be used to connect the greenspace network.,criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use:Industrial and Production Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Industry & Production Center:Corridor:New Complete Neighborhood,Theme B - Restoration Policy 2
D-SP2-1,en,"Visible, usable greenspace and other natural components should be incorporated into school sites.",criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme D - Support Policy 2
D-SP2-2,en,Active and passive recreation opportunities should be provided on school sites.,criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Corridor:New Complete Neighborhood,Theme D - Support Policy 2
E-GR3-1,en,Physical and visual connections should be provided to existing greenway networks.,criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use:Industrial and Production Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Industry & Production Center:Corridor:New Complete Neighborhood,Theme E - Growth  Policy 3
E-GR3-2,en,New focal points should emphasize geographic features unique to the site.,criteria_category: Greenspace & Environmental Health,Low Density Residential:High Density Residential:High Density Non-Residential / Mixed-Use:Medium Density Residential:Medium-High Density Residential:Medium Density Non-Residential / Mixed-Use:Low Density Non-Residential / Mixed-Use:Industrial and Production Non-Residential / Mixed-Use,Downtown:2nd Tier Urban:Regional Center:Industry & Production Center:Corridor:New Complete Neighborhood,Theme E - Growth  Policy 3
E-ST5-1,en,Increased intensity in the Rural Activity Centers should not negatively impact surrounding rural areas.,criteria_category: Greenspace & Environmental Health,Industrial and Production Non-Residential / Mixed-Use,Industry & Production Center,Theme E - Stewardship  Policy 5
