title,field_policy_number,field_definition,langcode,field_topics,field_goals,field_objectives,field_short_name,body,field_bulleted_list,field_rural_development
Theme B - Sustainability Policy 11,11,"Require green infrastructure elements for new development, and require during redevelopment where appropriate.",en,"topic: Greenspace, Health, Community Facilities",A3:B3,A1a:A2b:A2c:A3c:A3d:B3a:B3c:C1d:D1b:E1b,Green Infrastructure,"Since 2016, the stormwater manual has required the use of green infrastructure for stormwater management for both volume and water quality control.  Below is a list of green infrastructure practices approved for use in Fayette County for volume control. 
 
Green infrastructure plays a key role for the urban environment and public health in the Lexington-Bluegrass region, especially when using nature-based solutions to preserve natural capital. Creating and improving the knowledge base remains one of the main strategic developments for the implementation of the manual and site design practice. Starting with school education efforts, more planning, landscape architecture and engineering programs are incorporating green infrastructure as a trend and recommended practice.",Update the green infrastructure elements in the Engineering Manuals to reflect current best practices.,On
Theme B - Sustainability Policy 12,12,Encourage and explore incentives for green building practices for new development and redevelopment.,en,"topic: Economic Development, Greenspace, Health",B2:B3,A1a:A2d:A3a:B2a:B2b:B2c:E1b,Encourage Green Building Practices,"Incentives should be explored to encourage new development or redevelopment to achieve green building standards. New development is encouraged to locate building structures at optimum conditions for the use of solar energy, and to consider sunlight impacts to adjacent dwelling units at preliminary development stage.

Provide incentives for development to incorporate renewable energy into the new proposals, such as solar, wind, geothermal, small-scale or micro-hydroelectric, energy-star equipment and systems, monitoring devices, etc. Achieving net-zero community status has become a common interest and trend both nationwide and globally, as more residents and consumers start to choose an eco-conscious living style. Lexington has a large eco-friendly market, especially among young professionals. Designing eco-friendly energy systems into development has proven to be economically efficient in the long run as well as environment friendly, which is encouraged in Lexington. Encourage development to design on-site water management to reuse grey water and develop standards in the engineering manuals.",Explore permitting incentives for green building design.,On
Theme B - Sustainability Policy 13,13,Develop an overarching entity / organization for existing environmentally-focused agencies to collaborate on sustainability programs and follow through on implementation.,en,"topic: Greenspace, Health, Quality of Life",,B3d,Sustainability Programs & Implementation,"Lexington’s  neighboring cities  have excellent examples  for sustainability partnerships. The Partnership for a Green City represents a collaborative effort to improve sustainability internally and in the community by four of Louisville’s largest public entities, including Louisville Metro Government, University of Louisville, Jefferson County Public Schools and Jefferson Community & Technical College. The partnership, which began in 2004, employs over 30,000 people; enrolls over 135,000 students; owns more than 531 buildings with 30 million square feet of space; operates and maintains 7,000 fleet vehicles; and manages 25,135 acres of land in Louisville Metro, which is one-tenth of the land in the merged city-county. To the north of Lexington in Cincinnati, OH, the Green Umbrella is the leading alliance that facilitates collaboration among over 200 area non-profits, businesses, educational institutions and governmental entities focused on the environmental aspects of sustainability for the Greater Cincinnati area. 

Based on these models, Bluegrass Forever Green, under Bluegrass Tomorrow, shares information and best practices while focusing on maximizing the collective impact of regional governments, organizations, non-profits, educational institutions and businesses in central Kentucky dedicated to environmental sustainability and improving quality of life and economic development in the Bluegrass. Bluegrass Forever Green focuses on local foods, clean water, energy, outdoor recreation and green spaces, waste, and recycling and transportation. Its mission is to further the goals of Bluegrass Tomorrow, a coalition of business, education, farming, development, and preservation interests dedicated to developing a regional unified vision.  They focus on education, land use, job growth, and quality of life innovations, which leads to an environment that develops creative talent and where young professionals and entrepreneurship thrive.

The summit of Bluegrass Forever Green Sustainability Partnership was introduced in 2015, in collaboration with Bluegrass Greensource, and continues to sustain Bluegrass Forever with conservation, preservation and sustainability initiatives. Through the summit discussion, consensus was reached that the partnership would move forward with working teams focusing on: 1) Land, which includes the Equine Agriculture Initiative, visioning for the community’s next great land preservation program, and the National Park Service Rivers Trails Conservation Assistance Program, which plans for trails and greenways; 2) Water, including work with the Kentucky River Water Trails Alliance and River Blast Events; 3)Waste and recycling; 4) Energy; and 5) Local food and agriculture. The most recent summit on local food was held in December 2017, and the Regional Food Council Initiative was formed to help expand local food in the Bluegrass Region.
 
Lexington has strong programs focused on sustainability across the community, with Fayette County Public Schools, University of Kentucky, LFUCG Environmental Services and the Mayor’s office. Collaboration needs to be expanded as the programs continue to grow. Through the coordination of efforts and cooperation, a partnership between the largest stakeholders could realize real results that will have a long-term impact on the health, education, and well-being of Lexington citizens. 

Responsibility to manage and maintain sustainable programs should be clarified. HOAs should be established to plant and maintain a lush landscape, which can help create a consistent and welcoming community. In the Lexington Urban Service Area, 84% land and trees are controlled by private property owners. Communicate with Planning and Urban Forestry to review 1-year or 5-year landscape status after development occurs, to ensure the plan is followed through and maintenance is in place.",,Off
Theme B - Restoration Policy 1,1,"Follow the LFUCG Urban Forestry Management Plan, protecting and recovering Lexington’s urban forest by strategically planting new trees and creating walkable streetscapes.",en,"topic: Greenspace, Health, Quality of Life",B2:B3,A3c:A3d:B2b:B2d:B3b:B3c:E1b,Urban Forestry Management Plan,"The urban forest plays an important role in supporting and improving the quality of life in urban areas. A tree’s shade and beauty contributes to the community’s health and softens the often hard appearance of urban landscapes and streetscapes. When properly maintained, trees provide abundant environmental, economic, and social benefits to a community, far in excess of the time and money invested in their planting, pruning, protection, and removal.

Lexington’s Urban Forestry Management Plan has a statement of, “achieving a sustainable urban forest in Lexington.” This mission encompasses the broad issues concerning the health and vitality of urban forests. A canopy made up of trees that are native, hardy, diverse, and compatible with conditions and climate, properly planted and maintained and protected, makes for a healthy, long-lived, and thus sustainable urban forest, with all of its benefits. For example, studies suggest that tree-lined streets are safer, with reduced traffic speeds and reduced driver stress (from 2013 Urban Tree Canopy Assessment and Planting Plan, by Davey Resource Group).Trees have also been proven to increase residential property values 3-7% when present in the yard, and 9% when adjacent as street trees. Additionally, consumers have been found to spend more time and have a more favorable view of businesses when the business district has a vibrant landscaping plan with many trees.

Lexington’s zoning ordinance has established standards for Commercial Landscaping (Article 18) and Tree Protection (Article  26). These ordinances set minimum tree canopy coverage standards for commercial and residential zones.  Steps to review and update these ordinances are part of the Urban Forestry Management Plan, and are reinforced in Imagine Lexington.
 
In Lexington, 16% of all land is publicly owned, and 84% is privately owned, according to the 2013 Urban Tree Canopy Assessment. In order to “achieve a sustainable urban forest in Lexington”, it is therefore important to engage both the public and the private sectors in the stewardship of the urban forest. This requires mechanisms for educating and encouraging private sector engagement in urban forestry. Updating tree inventory on a continuous basis, and supplementing with a comprehensive urban tree canopy assessment every 10 years, along with tracking all completed action items, will provide opportunity for evaluation and adjustments.

Tree protection is required in the development process. Contacting the urban forester is required by the ordinances and the procedures manual. The benefits associated with the conservation of trees, tree stands, and greenspaces as a part of new development planning is well documented. According to the 2016 Greenspace Survey, 92% of respondents feel developers should be responsible for greenspace creation as basic infrastructure, while 78% feel that there should be additional protection for trees of significant species, size and condition. 
LFUCG currently has initiatives to increase public participation in care and planting of trees on public property through Reforest the Bluegrass. Grassroots non-profit organization Trees Lexington! has also gained tremendous momentum in the community, and has been advocating for increased urban tree canopy. Lexington has established a well-stocked plant nursery at Hisle Park, where trees, shrubs, and other plants will be grown and propagated for installation on public properties, including parks, greenways, and facilities. It is time to move trees forward on the budget list.",Implement recommendations from the Urban Forestry Management Plan.,Off
Theme B - Restoration Policy 2,2,Use green infrastructure to bridge gaps in the greenspace network.,en,"topic: Greenspace, Health, Quality of Life",B3,A2c:A3c:B3a:B3c:E1b,Greenspace Infrastructure & Network,"Green infrastructure provides numerous environmental benefits, such as stormwater management, with limited disruption to natural land. It can serve as an urban oasis in the regional ecological system and create linkages within the greenspace network. The 2004 Greenway Master Plan identified several conservation greenways in the county which are a crucial component of the greenspace network within our region. Development within or adjacent to these greenways should consider incorporating green infrastructure as a means of creating and/or maintaining connections to the network. Doing so will provide effective stormwater mitigation, habitat preservation/enhancement, and increased environmental quality.",,On
Theme B - Restoration Policy 3,3,Support community gardens and urban agriculture to restore natural resources within the Urban Service Area.,en,"topic: Agriculture, Greenspace, Health, Quality of Life, Community Facilities",B2:B3,A2c:B2b:C1a:C1b:E1b,Community Gardens & Urban Agriculture,"Lexington allows community gardens on public property such as parks and greenways, in areas where appropriate. Seedleaf was founded in 2007 with a mission to nourish communities by growing and sharing food in Lexington. The nonprofit grew three gardens in 2008, 10 gardens in 2009, and has grown steadily since then. While neighbors come together to produce local food and improve social connections, the process also restores natural resources within the urban area, leaving ecological benefits for the environment. Seedleaf cultivates 15 free u-pick community gardens throughout Fayette County’s food deserts, areas deemed by the USDA to have problematic access to fresh local food. Seedleaf also picks up compost at 35 area restaurants and kitchens through their Compost Partners Program, a partnership with the Lexington Fayette Urban County Government’s Division of Waste Management. Much of that food waste is composted at or near community gardens.
 
Urban farming has become popular in multiple cities. With growing population and urbanization, suitable agricultural soil is diminishing within the urban area. However, market demand for organic locally grown food is dramatically increasing for health and economic reasons. New solutions are popping up, including rooftop farming. Lexington has a community base for organic locally grown agriculture, in which new development could play a major role.

“Soaring prices and concerns about chemical-laden fruits and vegetables increasingly drive us to grow our own healthy food close to home. In cities, however, vanishing ground space and contaminated soils spur farmers, activists, and restaurateurs to look to the skyline for a solution. The hunger for local food has reached new heights, and rooftops can provide the space that cities need to bring fresh, organic produce to tables across North America.”
- Lauren Mandal, EAT UP
These inspiring solutions will help restore the urban environment and benefit all residents of Lexington.
",Work with Parks & Recreation and private organizations to facilitate the creation of a regional sports complex.,Off
Theme B - Restoration Policy 4,4,Improve air quality by reducing vehicle miles traveled (VMT). ,en,"topic: Transportation, Health",A3:B2:D1,A3b:A4a:A4b:A4c:B2d:C1e:C2a:D1a:D1b:D1c:D1d:E1b:E1c:E1d,Reduce Vehicle Miles Traveled (VMT),"Reduction of vehicle miles traveled (VMT) is an official goal of the U.S. Government policy, as stated in sections of the Clean Air Act (CAA). Vehicles (or mobile sources) are a major contributor to urban air pollution. Technology (cleaner vehicles and cleaner fuels) will continue to reduce vehicle pollution, but more people living in an area generally equates to more vehicles on the road. Recent national trends show a decrease in personal vehicle miles of travel per person and it is likely that this trend will continue. However, the population is also increasing and the economy is entering a period of growth. Thus, it is anticipated that overall travel demand will continue to grow. If demand is not met in an efficient and multimodal manner, additional congestion may ensue, potentially compromising air quality.

Lexington is a relatively vehicle-dependent city and some damage to air quality has already taken place. The Lexington Area MPO monitors local air quality and promotes ways to reduce air pollution.
Advisory has included:

• Reduce driving and fuel consumption by using public transportation, walking, carpooling, or riding a bike;
• Ask employers to consider flexible work schedules or telecommuting;
• Trip-chain (plan daily trips or errands to reduce excess driving);
• Fill gas tanks during cooler evening hours to cut down on evaporation;
• Avoid spilling gas and don’t “top off” the tank. Replace gas tank cap tightly;
• Avoid waiting in long drive-thru lines, for example, at fast-food restaurants or banks. Park vehicles and go inside.
Other incentive programs that can be explored include:

• Employer pay-to-park program. Employers offer parking passes but reimburse in compensation for employees who opt not to use parking passes. Multiple cities have used this method to encourage employees to commute using alternative transportation rather than single occupant vehicles.
• Explore policies including VMT tax, tolls, or congestion pricing in downtown areas
• Implement parking pricing schemes
• Reduce the availability of on and off street parking to encourage alternate forms of transportation
• Create alternatives to single occupancy vehicle travel through the improvement of multimodal transportation options, including carpools, vanpools, public transit, and active transportation – any self-propelled, human-powered mode of transportation.",,Off
Theme C - Livability Policy 1,1,Encourage economic opportunities for a wide array of agritourism while preserving the Bluegrass identity.,en,"topic: Economic Development, Agriculture, Greenspace",B3:D3:E1:E2,B2b:C1b:C1d:C2a:C2d:D3a:E1b:E2a:E2b,Agritourism Economic Opportunities,"Agritourism is an increasingly important part of Lexington tourism, and with recent developments like the creation of Horse Country, which has accounted for over 70,000 horse farm tours alone since its inception, and Boone Creek Outdoors zip line canopy tours, the timing is right to continue with that momentum.  Efforts should be made to ensure that the local Fayette County extension office and the Kentucky USDA know about the agritourism uses allowed in Lexington’s rural service area, so farmers are aware of the options they may have for additional revenue streams.  These opportunities have the potential to supplement farmers’ primary business operations and may allow some farms to remain viable, where it might otherwise be difficult.  
However, these opportunities should be monitored and conditional uses closely scrutinized, using the Rural Land Management Plan as a guide.  It is important that tourism uses for the agricultural land do not have a negative impact on the farming practices that are vital to the Lexington economy.  It is possible to have a thriving agritourism industry while maintaining the integrity of the agricultural area, and it should be encouraged as a primary component of Lexington’s tourism strategy.

The zoning ordinance for the A-R Agricultural Rural, A-B Agricultural Buffer, and A-N Agricultural zones currently allow several accessory uses that are related to agritourism. Further, tourism-related conditional uses are currently listed as options in the A-R zone with Board of Adjustment approval; while some are permitted in the A-B and A-N zones, others require environmental approval.",,On
Theme C - Livability Policy 2,2,"Emphasize the preservation, protection, and promotion of the iconic Bluegrass landscape along rural gateways and roadways serving as primary tourist routes.",en,"topic: Transportation, Economic Development, Agriculture, Greenspace",B3:D3:E1:E2,B2b:B3b:C1b:C1d:D3a:E1b:E2a:E2b,Rural Bluegrass Gateways & Roadways,"Visitors to Lexington frequently remark about the scenic beauty observed while driving through the farmland on the way to a destination.  Trips to horse farms, distilleries, breweries, or any of the other tourist hot spots become as much about the journey as the destination.  The experience draws people in, and, in some cases, influences visitors’ decisions to locate themselves or their businesses to Lexington permanently.  Foals frolicking in a pasture, great blue herons perched on the banks of the Elkhorn, green rolling hills of bluegrass and crops, and historic dry-laid stone fences all add to the Bluegrass experience and make the case for preserving one of the world’s most iconic landscapes.  
  
The map above from the 2017 Rural Land Management Plan (RLMP) shows historic turnpikes, State Designated Scenic Byways, turnpikes and byways, and other scenic roads, as well as scenic view sheds and the Paris Pike Overlay area.   The detailed lists of these roads are on pages 82 and 83 of the RLMP.  
 
Gateways identified by the RLMP are shown below, and the recommendations described in pages 87 through 90 of the RLMP should be followed.  From the RLMP:  
 
“First impressions for those entering the Rural Service Area should be favorable and lasting, whether arriving at the county line, Urban Service Boundary, interstate or airport. Gateway planning and design should reflect the values of the community to protect the beauty of the rural landscape while welcoming visitors.”",,On
Theme C - Livability Policy 3,3,Create a large regional athletic field complex for economic development and to enhance Lexington’s existing facilities.,en,"topic: Economic Development, Greenspace, Health, Quality of Life, Community Facilities",A4:C1:D2,C1d:C2d:E1b:E1e,Regional Athletic Field Complex,"According to the 2018 Parks and Recreation Master Plan:

“The Bluegrass Sports Commission previously approached the city about a partnership for the development of a sports complex to promote economic development. They produced a feasibility study, Lexington Sports Complex Market and Feasibility Analysis, in 2015 outlining the benefits of such a facility.”

The proposed sports complex was to be at Cardinal Run North, owned by Lexington and managed by the Bluegrass Sports Commission.  Similar arrangements in Elizabethtown have created a cottage industry around tournament sports, while also meeting the local needs for parks infrastructure.  While traffic and access concerns regarding the Cardinal Run North complex brought progress to a halt on that site, unquestionably there is a need in the community, and the economic impacts could be significant.
The Parks Master Plan recommends a number of regional (regions of Fayette County) sports complexes to meet the needs of the residents.  It also says “a potential Tournament Sports Complex should be evaluated based on its merits as a driver of economic development…A tournament complex may be advantageous to Lexington for its potential to promote tourism, benefit local businesses, and generate additional tax revenue.” ",,Off
Theme C - Livability Policy 4,4,"Continue to coordinate transportation logistics and traffic control for recurring special events, festivals, and parades.",en,"topic: Transportation, Economic Development",B2:D1,C1d:C2d:D1b:D1d:E1b,Coordinate Transit Logistics for Special Events,"The Lexington Area MPO regularly meets with the Traffic Safety Coalition subcommittee, the Transportation Technical Coordinating Committee, Bicycle Pedestrian Advisory Committee, and the Transportation Coordination Committee to review security of the transportation systems. On-the-ground coordination with the Divisions of Police and Traffic Engineering for special events provides safety enhancements when roads are closed or traffic patterns are otherwise altered. The high point of these coordination efforts came during the World Equestrian Games, as the normal agencies added LexTran and private businesses to the mix to ensure that patrons were all efficiently ferried to and from the Kentucky Horse Park for events. By any measurable standard, the traffic and transportation efforts during the games were successful, as many citizens utilized those services and the overall impact to Lexington traffic was minimal.
Longer term coordination through the Lexington MPO comes in the form of contributions roughly of $600k a year for operations, which goes to traffic engineering. Use of those funds covers safety improvements, operations for events and infrastructure for traffic efficiency. The Lexington MPO was one of the first, and is still one of the few, MPOs to fund projects like this out of their annual budget. Staring in the late 1980s, this funding has covered everything from replacing aging traffic controllers to providing the startup budget for the Traffic Management Center.",,Off
Theme C - Livability Policy 5,5,"Enhance programs and activities by Lexington’s Parks and Recreation Department, and support public event planning, community events, and festivals.",en,"topic: Economic Development, Quality of Life, Community Facilities",,C1d:C2d:D1b:E1b,Enhance Programs & Activities,"Many of the festivals, parades, and events that Parks and Recreation hold are in the same location each year. Events, festivals, parades, and the like are important in celebrating holidays, cultures, and community celebrations. These activities add to the livability of the city, attract tourists, and provide entertainment options that appeal to millennials, as well as people of all ages. Increasing the scope of these events, and even creating a citywide festival, should be considered.  The special site needs for these annual events should be supported in planning complementary land uses, such as restaurants and hotels, as well as improving infrastructure such as roads, trail access, lighting, and etc.",,Off
Theme C - Livability Policy 6,6,"Attract and retain young professionals by improving affordable housing opportunities, amenities, and entertainment options that are attractive to them.",en,"topic: Housing, Economic Development, Quality of Life",A1:C2:D4,A1b:A1d:A2c:C2d:E1b,Attract & Retain Young Professionals,"In 2017, a survey titled “The Experience Movement: How Millennials are Bridging Cultural & Political Divides Offline” was conducted by Eventbrite and Harris Poll. It revealed that most millennials would rather spend their money on experiences or events than on tangible things. Millennials have a common fear of missing out on an enjoyable event or experience that others are having. Many of this age feel their best memories are from their shared experiences.

These young professionals make up much of the current workforce and, as the baby boomers retire, they will soon comprise the majority of the workforce. Sixty-nine percent of millennials felt that attending events made them feel more connected to the community and the people in it.
Lexington has tremendous restaurant options, while it also has the free events, music concerts, etc. aimed at keeping our young workforce in Lexington. There are also the popular and free downtown events such as Thursday Night Live, free concerts at Moondance Amphitheater, a free Thriller Parade, and many other events that attract people of all ages.  

An academic article, “Beyond the Jobs versus Amenities Debate: Understanding the Migration of Educated Workers and Implications for Planning”, by Marla Nelson and Renia Ehrenfeucht, delved into understanding why educated workers move to other places and how to retain talent. The study found that economic motivations extended beyond wage and employment differentials. Having meaningful and rewarding opportunities within a culturally rich community were more important, and where compactness of a city creates relatively affordable housing and more accessible amenities, the social networks facilitated from public socializing significantly helped retain talent.
The study found that many relocated because they were able to find meaningful work, while some that left did so to advance their career because there were limited long-term opportunities in their respective locations. Some workers turned to entrepreneurship in order to remain in the cities that otherwise provided the benefits they wanted. The study found that having a diverse, robust economy can attract new workers and help retain talent, and that building on a place’s unique cultural amenities helps recruit and retain workers.",,Off
Theme C - Livability Policy 7,7,"Continue to create a true multimodal and mixed-use community with safe and quality access to community facilities, greenspace, employment, neighborhoods businesses, shopping, and entertainment.",en,"topic: Housing, Transportation, Economic Development, Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B2:D1:D2,A1a:A1b:A1d:A2a:A2c:A3a:A3b:A4a:A4b:A4c:B2c:B2d:C1a:C2a:C2d:D1a:D1b:D1c:D2a:E1b:E1c:E1d,multimodal & Mixed-Use Community,"Walkscore is a website that scores neighborhoods based on a formula that assesses a neighborhood’s walkability, bikeability, and multimodal service on a scale from 1 to 100.  In reviewing local Lexington scores, some areas scored much higher in walk and bike scores than others.   For example, Aylesford Place-Woodland Park has a walk score of 85 and a bike score of 90.  Downtown has a walk score of 88 and a bike score of 83.  Columbia Heights has a walk score of 85 with a bike score of 92.  University of Kentucky walk score is 80, and bike score was 89, and most errands can be accomplished on foot.  These are examples of neighborhoods in Lexington that are very walkable.  

However, overall Lexington received a Walk Score of 34, a Transit Score of 25, and a Bike Score of 44.  These numbers indicate that the city is car-dependent and that most errands require a car.  Though the website may have included the rural area, thereby skewing the results to the non-walkable side, it still indicates that there is plenty of room to improve in this area.
 
Walkability is important for many reasons.  Walking to amenities, employment, etc. from home is good for the environment, public health, and personal budgets, also, a walkable communities drive real estate values higher.  Studies also indicate that millennials want to be able to walk or bike to work, restaurants, and retail.  According to Smart Growth America’s “Foot Traffic Ahead:  2016”, the most walkable urban metros are also the most socially equitable, since the better access to employment and lower transportation costs (no car expense) offset the higher costs of housing.   

In addition to providing a walkable and bikeable environment, it is important to also increase the level of service for our transit operations.  The best way to do this is to increase ridership and make land use decisions that put people near the areas that are most easily served by transit, and encourage transit-oriented development patterns along our major corridors.  This will be studied through comprehensive corridor studies executed through a partnership between Long-Range Planning and the Metropolitan Planning Organization (MPO) referenced elsewhere in this plan.
",,Off
Theme C - Livability Policy 8,8,"Promote quality of life aspects, including greenspace, as an attraction to new businesses and residents.",en,"topic: Economic Development, Greenspace, Health, Quality of Life",A3:D3:D4,A1a:A1c:B2b:C1d:C2c:C2d:D1b:D1c:E1b,Promote Quality of Life,"The design of a city, its public spaces, and public infrastructure have important correlations with quality of life, social development, and other key components of human wellbeing.  Likewise, appealing cities are more likely to attract a creative, innovative, and skilled workforce, and the investments that are needed to drive the urban economy.  The urban design practice in the modern world is not only for building layouts, but includes an additional focus on the goals of making urban areas functional, attractive, and sustainable.
   
One great example of city-wide amenities that improved the quality of life is the Legacy Trail system through Lexington.  Many new businesses and residents factor the trail systems in when making their company and home location decisions. This type of regional greenspace is largely well-received by citizens.  Another regional greenspace project underway is the Town Branch Commons, a world class greenway and park for downtown Lexington. It will be a 2.5-mile linear park that follows the historic route of the Town Branch Creek, currently located in a culvert under modern day Vine Street.  This system will provide continuous bike and pedestrian connections, a lush green band through downtown, connections to new and existing parks, and improvements to water quality. Town Branch Commons will also connect the Legacy and Town Branch Trails, completing a 22-mile trail network that can be used for far more than just recreation.  A project of this scale needs support from all community stakeholders with public and private partnership. The project is already energizing multiple facets of private developments along the corridors, with increasing interest among new businesses and residents. 

During comprehensive plan community discussions, the general public indicated broad support for the overall concept of continuing to preserve the outlying horse farms that are widely represented as Lexington’s identity. As has been mentioned before, these farms are not only pretty to look at, but are vital in direct and indirect impacts to Lexington’s economy.  In recent years, the horse farms have started to embrace connections with the urban population, opening up their doors with Horse Country tours. This creates a personal connection between the urban and rural areas and strengthens Lexington’s identity, which assists in bringing more people and businesses to Lexington.",,Off
Theme C - Livability Policy 9,9,Promote economic development through the preservation of strategically and appropriately located industrial and production zoned land.,en,"topic: Economic Development, Quality of Life",C1:C2:C3:E1,C1a:C2a:C2b:C2c:E1b:E1d:E1e,Strategically Preserve Production Land,"The creation of adaptive reuse regulations was an acknowledgment that many of Lexington’s older industrial zoned sites were no longer suited for modern economic development purposes.  As those properties became vacant and dilapidated, it presented opportunities to support the urban core with businesses and residential options better suited for their urban environment.  However, it is still critical to provide a base of industrial zoned land, in strategic locations well served by appropriately scaled infrastructure and available transit service.  Where sites have existing historically significant structures that can be reused or updated, all care should be taken to do so.  

While Imagine Lexington is in large part focused on designing places that can accommodate a wide mix of uses, industrial and production land stands out uniquely in that there should be little encroachment by residential land on these areas, and vice versa.  Just as important as preserving the industrial land is closely monitoring the adjacent land use development patterns.  Appropriate buffering and transitions should be applied so that there can be minimal use restrictions applied on these industrial properties.  It is important that production land remain flexible and wide-ranging in the uses allowed. The vast majority of heavier industrial and production uses are not suited to be within close proximity to residential and retail areas.

Other common themes of Imagine Lexington, however, are still very much a factor in future industrial and production growth.  These areas should pay special attention to their design features as well.  In meeting and discussing issues with industrial business owners, transportation for their workforce was identified as a serious hurdle they have to find unique ways to overcome.  Many of the problems identified have their origins in the initial site design and location of the industrial corridor in which they are located.  While it may not initially sound intuitive, full multimodal transit infrastructure is of the highest importance.

All new development and redevelopment proposals should consider other design elements so that all industrial land can be as efficiently used as possible, thus ensuring there is growth potential for the future.  Minimizing parking, appropriate landscaping and providing ample connectivity are all a part of taking a strategic approach to economic development areas.","Inventory and analyze existing industry and production land, identifying areas to enhance or repurpose based on market and locational factors.",Off
Theme C - Diversity Policy 1,1,"Create opportunities for incubators. Seek incentives for owners of vacant office/laboratory space, and for developers who build incubator space for startups and for growing businesses.",en,topic: Economic Development,,C1a:C2b,Create Opportunities for Incubators,"Lexington needs additional space to encourage more startup businesses, as well as for startups who have outgrown their original space.  As new ventures, there are barriers that these young companies must overcome, such as a lack of credit and a need for mid-level space of about 1,000 square feet or larger.  Some companies engaging in research and development may require more specialized and larger (around 5,000 square feet) spaces with water, hoods, etc., while some only require Wi-Fi and a small space to occupy.  New modern co-working spaces like Base 110 in downtown Lexington provide flexible office space with shared common areas for like-minded professionals to work and collaborate.  Additional similar creative working spaces should be pursued to encourage entrepreneurs and new small businesses.

University of Kentucky’s on-campus business incubator, Advanced Science & Technology Commercialization Center (ASTeCC), houses new and rising technology-based companies located within the engineering complex.  ASTeCC has 80,000 square feet, and was funded by the Economic Development Administration and Small Business Administration.  It currently has about twenty-five companies, two-thirds of which are owned by UK faculty; the rest are from out-of-state.  Fifty-nine companies have ‘graduated’ from ASTeCC since it began in 1994.  The companies have access to other shared-use facilities on University of Kentucky’s campus, such as the Electron Microscopy Center, Center for Nanoscale Science and Engineering, and Mass Spectrometry Facility. 

The Bluegrass Small Business Development Center (SBDC) serves Fayette and 14 counties in the region.  The Bluegrass SBDC helps make dream businesses come true by providing business consultants to assist with strategic market research, access to capital and loan packaging assistance, business and strategic plan development, and analysis and start-up assistance, among other services.  The consulting is free of charge.  

Commerce Lexington assists in placing businesses, not only on new sites, but also in all types of existing buildings.  Commerce Lexington keeps an inventory of available locations and works with businesses and other agencies to place businesses looking for space to rent.  Landlords of large professional office spaces may be hesitant to divide up those spaces to accommodate a business looking for smaller footprints.  However, there is an abundance of vacant office options of many sizes throughout Lexington.  
",,Off
Theme C - Diversity Policy 2,2,"Encourage a diverse economic base to provide a variety of job opportunities, allowing upward mobility for lower income residents of Fayette County",en,topic: Economic Development,C3,C1a:C2a:E1a:E1b,Encourage a Diverse Economic Base,"Unemployment is low in Lexington, but many jobs are concentrated in industries of less than average pay.  When looking at the mix of employment in Lexington, excluding government jobs, the top three industries with the most employment were Healthcare and Social Assistance, Retail Trade, and Accommodation and Food Services.  The average employee income for Healthcare and Social Assistance was $49,229; for Retail Trade, the average income was $25,187; and for Accommodations and Food Services, average income was $16,805.  While there are opportunities within these industries to advance to higher-paying jobs, overall they have a higher percentage of lower-paying jobs.  These vital jobs should be retained, but those in higher-paying employment sectors should remain the focus of Lexington’s economic development strategy.  These more lucrative jobs attract young professionals from surrounding areas, help retain local graduates, or encourage movement from existing lower-paying positions.
Funding and supporting research and development campuses should also continue to be a priority, as they attract high-paying jobs and new talent, help retain local talent, and create spaces for incubator businesses.  Collaboration should continue between the City, the University of Kentucky, and Commerce Lexington to seek capital investment in this sector.  ",,Off
Theme C - Diversity Policy 3,3,"Support full funding and adequate staff for the Minority Business Enterprise Program (MBEP) which increases diversification of city vendors through promoting an increase in minority, veteran, and women-owned companies doing business with the city.",en,topic: Economic Development,,C1a:C2d:E1b,Minority Business Enterprise Program,"Minority, veteran, and women-owned businesses are underrepresented in Lexington, and the MBEP, as well as other agencies, are making efforts to help lessen this disproportion.  From the Minority Business Enterprise Program (MBEP) webpage: 

“The Minority Business Enterprise Program is in place to help minority, women, and veteran-owned businesses participate in the city’s procurement process.  The success of minority-owned businesses is vital to the community because they contribute to the overall success and economic viability of Lexington.”

Lexington’s Central Purchasing processes millions of dollars of purchasing contracts for the city of Lexington.  The city has established a “Ten Percent Goal Plan” to increase the number of minority, women, and veteran-owned businesses participating in the procurement process.  The MBEP exceeded its 10% goal for MBE and WBE combined in 2017; that percentage may increase further as the remaining 2017 contracts are awarded.   The goal for Veteran participation is 3%, but that number cannot be tracked at this time.  See the following chart from the MBEP:
 
The MBEP offers a long list of services to assist minority, women-owned, and veteran-owned businesses including, but not limited to, events for networking, classes on the procurement process, assistance with certification, training programs, communications about bid opportunities, and individual appointments.",,Off
